record_type,series,decade,first_rate_year,last_rate_year,economy,code,class_2025,class_at_decade_start,middle_income_at_decade_start,annual_rates_used,decade_median_growth_pct,population_mn,population_year,in_balanced_sample,n_economies,weighted_median_economy,plotted
economy,,2016-25,2016,2025,Jordan,JOR,UM,UM,True,10,2.3065,11.521,2025,True,,,True
economy,,1988-95,1988,1995,Kazakhstan,KAZ,UM,,False,2,,17.154,1990,False,,,False
economy,,1996-2005,1996,2005,Kazakhstan,KAZ,UM,LM,True,10,5.3482,15.968,2005,False,,,False
economy,,2006-15,2006,2015,Kazakhstan,KAZ,UM,LM,True,10,15.6431,18.084,2015,False,,,False
economy,,2016-25,2016,2025,Kazakhstan,KAZ,UM,UM,True,10,5.4418,20.844,2025,False,,,False
economy,,1988-95,1988,1995,Kenya,KEN,LM,L,False,8,-4.2247,22.893,1990,True,,,True
economy,,1996-2005,1996,2005,Kenya,KEN,LM,L,False,10,8.6081,35.796,2005,True,,,True
economy,,2006-15,2006,2015,Kenya,KEN,LM,L,False,10,9.6108,47.089,2015,True,,,True
economy,,2016-25,2016,2025,Kenya,KEN,LM,LM,True,10,5.5556,57.532,2025,True,,,True
economy,,1988-95,1988,1995,Kiribati,KIR,LM,LM,True,8,9.2906,0.075,1990,True,,,True
economy,,1996-2005,1996,2005,Kiribati,KIR,LM,LM,True,10,0.2997,0.098,2005,True,,,True
economy,,2006-15,2006,2015,Kiribati,KIR,LM,LM,True,10,7.1204,0.117,2015,True,,,True
economy,,2016-25,2016,2025,Kiribati,KIR,LM,LM,True,10,4.4046,0.136,2025,True,,,True
economy,,1988-95,1988,1995,Kosovo,XKX,UM,,False,0,,1.974,1990,False,,,False
economy,,1996-2005,1996,2005,Kosovo,XKX,UM,,False,0,,1.818,2005,False,,,False
economy,,2006-15,2006,2015,Kosovo,XKX,UM,,False,5,,1.788,2015,False,,,False
economy,,2016-25,2016,2025,Kosovo,XKX,UM,LM,True,10,9.0024,1.577,2025,False,,,False
economy,,1988-95,1988,1995,Kyrgyz Republic,KGZ,LM,,False,3,,4.391,1990,False,,,False
economy,,1996-2005,1996,2005,Kyrgyz Republic,KGZ,LM,L,False,10,1.7857,5.163,2005,False,,,False
economy,,2006-15,2006,2015,Kyrgyz Republic,KGZ,LM,L,False,10,12.1345,6.04,2015,False,,,False
economy,,2016-25,2016,2025,Kyrgyz Republic,KGZ,LM,LM,True,10,7.5252,7.343,2025,False,,,False
economy,,1988-95,1988,1995,Lao PDR,LAO,LM,L,False,8,11.5132,4.312,1990,True,,,True
economy,,1996-2005,1996,2005,Lao PDR,LAO,LM,L,False,10,4.8925,5.87,2005,True,,,True
economy,,2006-15,2006,2015,Lao PDR,LAO,LM,L,False,10,15.9596,6.802,2015,True,,,True
