Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Singapore,SGP,H,0.034756,0.01244,0.071689,0.034756,unadjusted,0,10,0.008277,0.032836,0.019509,0.036676,-0.037942,0.164328,0.03906,0.020999,0.090465,0.078343,projected
Sint Maarten (Dutch part),SXM,H,0.035173,0.01244,0.071689,0.035173,unadjusted,0,9,0.105676,-0.065513,-0.054932,0.09377,-0.135643,0.067595,0.175947,0.035173,0.018035,,projected
Slovak Republic,SVK,H,0.039586,0.01244,0.071689,0.039586,unadjusted,0,10,-0.050562,-0.011243,0.104728,0.041712,0.00988,0.081874,0.041885,0.03746,0.037428,0.120968,projected
Slovenia,SVN,H,0.046586,0.01244,0.071689,0.046586,unadjusted,0,10,-0.021286,0.019898,0.112069,0.056712,-0.020077,0.115839,0.044845,0.048327,0.024823,0.117332,projected
Solomon Islands,SLB,LM,-0.00995,0.01244,0.074681,0.01244,raised by floor,0.02239,10,-0.004975,0.01,0.064356,0.027907,-0.0181,-0.023041,-0.051887,-0.014925,-0.035354,0.057592,projected - raised from -1.0% to the 1.244% floor
"Somalia, Fed. Rep.",SOM,L,0.032796,0.01244,0.055948,0.032796,unadjusted,0,10,0.022727,0.111111,0.02,0.019608,-0.038462,0.08,0.055556,0.052632,0.033333,0.032258,projected
South Africa,ZAF,UM,0.010542,0.01244,0.090712,0.01244,raised by floor,0.001898,10,-0.088372,-0.005102,0.068376,0.0512,-0.097412,0.065767,0.033228,-0.006126,-0.058552,0.026187,projected - raised from 1.1% to the 1.244% floor
South Sudan,SSD,L,,0.01244,0.055948,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Spain,ESP,H,0.026081,0.01244,0.071689,0.026081,unadjusted,0,10,-0.032753,-0.016931,0.082081,0.03488,-0.103076,0.108355,0.076037,0.008871,0.017283,0.106408,projected
Sri Lanka,LKA,UM,0.028158,0.01244,0.090712,0.028158,unadjusted,0,10,0.02551,0.049751,0.030806,-0.029885,-0.080569,0.033505,-0.097257,-0.019337,0.090141,0.206718,projected
St. Kitts and Nevis,KNA,H,0.045835,0.01244,0.071689,0.045835,unadjusted,0,10,0.051955,0.039715,0.073947,0.079343,-0.182932,-0.013961,0.12323,0.021008,0.004115,0.117031,projected
St. Lucia,LCA,UM,0.060856,0.01244,0.090712,0.060856,unadjusted,0,10,0.076497,0.056643,0.077973,0,-0.213382,0.152874,0.164506,0.065068,0.032154,0.044393,projected
St. Martin (French part),MAF,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
St. Vincent and the Grenadines,VCT,UM,0.061256,0.01244,0.090712,0.061256,unadjusted,0,10,0.052039,0.033422,0.082794,0.039427,-0.03908,0.043062,0.091743,0.072479,0.097943,0.070473,projected
Sudan,SDN,L,-0.058616,0.01244,0.055948,0.01244,raised by floor,0.071056,10,-0.033898,-0.114035,-0.19802,-0.111111,-0.166667,0.033333,0.16129,-0.083333,0.075758,0.267606,projected - raised from -5.9% to the 1.244% floor
Suriname,SUR,UM,0.019497,0.01244,0.090712,0.019497,unadjusted,0,10,-0.221053,-0.144144,0.005263,0.04712,-0.215,-0.046709,0.122494,0.03373,0.092131,0.079086,projected
Sweden,SWE,H,-0.000572,0.01244,0.071689,0.01244,raised by floor,0.013012,10,-0.069948,-0.029898,0.051493,0.0213,-0.026916,0.096171,0.034926,-0.022445,-0.033532,0.07691,projected - raised from -0.1% to the 1.244% floor
Switzerland,CHE,H,0.01019,0.01244,0.071689,0.01244,raised by floor,0.00225,10,-0.044243,-0.029199,0.036313,-0.007079,-0.012001,0.105232,0.065506,0.002451,0.01793,0.104183,projected - raised from 1.0% to the 1.244% floor
Syrian Arab Republic,SYR,L,-0.04,0.01244,0.055948,,frozen,,7,-0.166667,-0.04,0.125,0.197531,-0.154639,-0.109756,-0.013699,,,,frozen - only 7 of 10 annual rates
São Tomé and Príncipe,STP,LM,0.091979,0.01244,0.074681,0.074681,cut by cap,-0.017298,10,0.014286,0.014085,0.152778,0.090361,0.121547,0.093596,0.27027,-0.003546,0.035587,0.305842,projected - cut from 9.2% to the LM p90 cap of 7.47%
"Taiwan, China",TWN,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Tajikistan,TJK,LM,0.039706,0.01244,0.074681,0.039706,unadjusted,0,10,-0.113821,-0.082569,0,0.05,-0.019048,0.097087,0.20354,0.029412,0.178571,0.260606,projected
Tanzania,TZA,LM,0.024564,0.01244,0.074681,0.024564,unadjusted,0,10,-0.010309,0,0.052083,0.039604,0.009524,0.066038,0.070796,0.008264,-0.008197,0.049587,projected
Thailand,THA,UM,0.022199,0.01244,0.090712,0.022199,unadjusted,0,10,-0.001799,0.045045,0.108621,0.099533,-0.022631,0.027496,0.016901,-0.001385,-0.011096,0.078541,projected
Timor-Leste,TLS,LM,-0.029659,0.01244,0.074681,0.01244,raised by floor,0.042099,10,-0.206422,0.028902,0.005618,0.217877,-0.06422,0.004902,-0.112195,0.043956,-0.131579,-0.084848,projected - raised from -3.0% to the 1.244% floor
Togo,TGO,LM,0.042853,0.01244,0.074681,0.042853,unadjusted,0,10,-0.043956,-0.022989,0.082353,0.032609,0.021053,0.072165,0.086538,0.053097,0.02521,0.106557,projected
Tonga,TON,UM,0.045564,0.01244,0.090712,0.045564,unadjusted,0,10,0.014218,0.03972,0.044944,0.070968,0.046185,0.005758,0.028626,0.096475,0.060914,0.090909,projected
Trinidad and Tobago,TTO,H,-0.021277,0.01244,0.071689,0.01244,raised by floor,0.033717,10,-0.134625,-0.052602,-0.007679,0.02619,-0.12761,0.084441,-0.012876,0.234783,-0.029678,-0.038362,projected - raised from -2.1% to the 1.244% floor
Tunisia,TUN,LM,-0.005141,0.01244,0.074681,0.01244,raised by floor,0.017581,10,-0.048426,-0.058524,0,-0.02973,-0.089136,0.11315,0.068681,-0.010283,0.007792,0.108247,projected - raised from -0.5% to the 1.244% floor
Turkmenistan,TKM,UM,-0.021933,0.01244,0.090712,0.01244,raised by floor,0.034373,10,-0.065079,-0.108659,-0.106667,-0.072495,-0.03908,-0.004785,0.079327,0.075724,0.167702,0.124113,projected - raised from -2.2% to the 1.244% floor
