Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
"Egypt, Arab Rep.",EGY,LM,-0.037667604399,0.01244,0.074681,0.01244,raised by floor,0.050107604399,10,0.032258064516,-0.1,-0.059027777778,-0.025830258303,0.121212121212,0.172297297297,0.164265129683,-0.049504950495,-0.0859375,-0.071225071225,projected - raised from -3.8% to the 1.244% floor
El Salvador,SLV,UM,0.047466239883,0.01244,0.090712,0.047466239883,unadjusted,0,10,0.022727272727,0.027777777778,0.064864864865,0.048223350254,-0.0799031477,0.152631578947,0.075342465753,0.046709129512,0.028397565923,0.067061143984,projected
Equatorial Guinea,GNQ,UM,-0.038836471832,0.01244,0.090712,0.01244,raised by floor,0.051276471832,10,-0.297379032258,-0.048780487805,-0.054298642534,-0.111642743222,0.102333931777,-0.026058631922,-0.128762541806,0.195777351248,-0.028892455859,-0.026446280992,projected - raised from -3.9% to the 1.244% floor
Eritrea,ERI,L,,0.01244,0.055948,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Estonia,EST,H,0.042816116082,0.01244,0.071689,0.042816116082,unadjusted,0,10,-0.013756613757,0.026824034335,0.128526645768,0.0875,0.003831417625,0.123409669211,0.041147602869,0.002538071066,0.044484629295,0.118767313019,projected
Eswatini,SWZ,LM,0.017842276546,0.01244,0.074681,0.017842276546,unadjusted,0,10,-0.076271186441,0.006116207951,0.051671732523,0.063583815029,-0.067934782609,0.055393586006,0.008287292818,0.027397260274,-0.082666666667,0.084302325581,projected
Ethiopia,ETH,L,0.076907946499,0.01244,0.055948,0.055948,cut by cap,-0.020959946499,10,0.087719298246,0.08064516129,0.089552238806,0.082191780822,0.037974683544,0.073170731707,0.090909090909,0.072916666667,0.067961165049,0.009090909091,projected - cut from 7.7% to the L p90 cap of 5.59%
Faeroe Islands,FRO,H,0.008883469779,0.01244,0.071689,0.01244,raised by floor,0.003556530221,9,-0.004508409919,0.008883469779,0.085980662983,0.04960254372,-0.027415934565,0.090951565177,0.041684511064,0.006166917911,-0.004086080087,,projected - raised from 0.9% to the 1.244% floor
Fiji,FJI,UM,0.032937056796,0.01244,0.090712,0.032937056796,unadjusted,0,10,0.039419087137,0.021956087824,0.111328125,-0.021089630931,-0.181328545781,-0.039473684211,0.198630136986,0.08,0.026455026455,0.070446735395,projected
Finland,FIN,H,0.012806261104,0.01244,0.071689,0.012806261104,unadjusted,0,10,-0.036278275715,-0.014171833481,0.075920934412,0.035281837161,0.000806614237,0.0640741487,0.024805907972,-0.023096821877,-0.021940609041,0.068458712048,projected
France,FRA,H,0.016692097066,0.01244,0.071689,0.016692097066,unadjusted,0,10,-0.051300753708,-0.023065094823,0.074501573977,0.04296875,-0.070926966292,0.116150163769,0.038600451467,-0.005216257335,-0.013327507101,0.076837909655,projected
French Polynesia,PYF,H,0.009109730849,0.01244,0.071689,0.01244,raised by floor,0.003330269151,9,-0.038594969644,0.002255299955,0.066606660666,0.035021097046,-0.096208724011,0.058186738836,0.029411764706,0.009109730849,-0.011079195732,,projected - raised from 0.9% to the 1.244% floor
Gabon,GAB,UM,0.02690405274,0.01244,0.090712,0.02690405274,unadjusted,0,10,-0.056504599212,-0.130919220056,0.072115384615,0.052316890882,-0.03125,0.026392961877,0.021428571429,0.071328671329,0.027415143603,0.027954256671,projected
"Gambia, The",GMB,L,0.053201506591,0.01244,0.055948,0.053201506591,unadjusted,0,10,0,0.050847457627,0.096774193548,0.058823529412,0,0.055555555556,0.092105263158,0.048192771084,0.011494252874,0.056818181818,projected
Georgia,GEO,UM,0.104132998563,0.01244,0.090712,0.090712,cut by cap,-0.013420998563,10,-0.071111111111,-0.011961722488,0.108958837772,0.043668122271,-0.094142259414,0.099307159353,0.195378151261,0.179261862917,0.172876304024,0.142312579416,projected - cut from 10.4% to the UM p90 cap of 9.07%
Germany,DEU,H,0.018191236297,0.01244,0.071689,0.018191236297,unadjusted,0,10,-0.026829791801,-0.013453903838,0.090319695953,0.032396965348,-0.03594836147,0.088792748249,0.044465468307,0.003985507246,-0.005954529051,0.092757306226,projected
Ghana,GHA,LM,0.028696936324,0.01244,0.074681,0.028696936324,unadjusted,0,10,-0.063829787234,0.039772727273,0.125683060109,0.053398058252,-0.023041474654,0.061320754717,0.008888888889,0.017621145374,-0.021645021645,0.163716814159,projected
Gibraltar,GIB,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Greece,GRC,H,0.0282666491,0.01244,0.071689,0.0282666491,unadjusted,0,10,-0.071285140562,-0.032972972973,0.065399664617,0.037250786988,-0.088012139605,0.128674431503,0.080098280098,0.014558689718,0.019282511211,0.115706115266,projected
Greenland,GRL,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Grenada,GRD,UM,0.063955793672,0.01244,0.090712,0.063955793672,unadjusted,0,10,0.079622132254,0.05,0.097619047619,0.019522776573,-0.107446808511,0.059594755662,0.122609673791,0.012024048096,0.068316831683,0.08063021316,projected
Guam,GUM,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Guatemala,GTM,UM,0.057591699405,0.01244,0.090712,0.057591699405,unadjusted,0,10,0.041551246537,0.058510638298,0.072864321608,0.051522248244,-0.028953229399,0.100917431193,0.0875,0.047892720307,0.056672760512,0.100346020761,projected
Guinea,GIN,LM,0.074813432836,0.01244,0.074681,0.074681,cut by cap,-0.000132432836,10,0.027027027027,0.052631578947,0.075,0.127906976744,0.061855670103,0.087378640777,0.142857142857,0.046875,0.074626865672,0.201388888889,projected - cut from 7.5% to the LM p90 cap of 7.47%
Guinea-Bissau,GNB,L,0.055641541557,0.01244,0.055948,0.055641541557,unadjusted,0,10,0,0.059701492537,0.056338028169,0.133333333333,0.011764705882,0.058139534884,0.054945054945,0.010416666667,0.010309278351,0.112244897959,projected
Guyana,GUY,H,0.06237745098,0.01244,0.071689,0.06237745098,unadjusted,0,10,0.014466546112,0.046345811052,0.039182282794,0.045901639344,0.26802507837,-0.034610630408,0.879641485275,0.210490463215,0.485649971863,0.078409090909,projected
Haiti,HTI,LM,0.019024247001,0.01244,0.074681,0.019024247001,unadjusted,0,10,-0.034965034965,-0.007246376812,0.043795620438,-0.013986013986,-0.049645390071,0.082089552239,0.110344827586,0.080745341615,-0.005747126437,0.161849710983,projected
Honduras,HND,LM,0.054840538152,0.01244,0.074681,0.054840538152,unadjusted,0,10,0.029556650246,0.057416267943,0.031674208145,0.021929824561,-0.090128755365,0.150943396226,0.106557377049,0.062962962963,0.052264808362,0.082781456954,projected
"Hong Kong SAR, China",HKG,H,0.044879468297,0.01244,0.071689,0.044879468297,unadjusted,0,10,0.043467702768,0.079357691413,0.079128934886,0.008591408591,-0.03823296355,0.120082389289,-0.006987863185,0.016111111111,0.046291233825,0.088660512106,projected
Hungary,HUN,H,0.05598979638,0.01244,0.071689,0.05598979638,unadjusted,0,10,-0.006010518407,0.00604686319,0.140495867769,0.109354413702,-0.030285035629,0.106552357624,0.062534587714,0.032291666667,0.049445005045,0.146634615385,projected
Iceland,ISL,H,0.071941342299,0.01244,0.071689,0.071689,cut by cap,-0.000252342299,10,0.113597893549,0.060124978889,0.160426955552,0.037342119714,-0.116860772896,0.019031919676,0.097352941176,0.083757705709,0.000494620997,0.102706711161,projected - cut from 7.2% to the H p90 cap of 7.17%
India,IND,LM,0.064409156371,0.01244,0.074681,0.064409156371,unadjusted,0,10,0.056962025316,0.071856287425,0.100558659218,0.05076142132,-0.082125603865,0.142105263158,0.087557603687,0.055084745763,0.024096385542,0.082352941176,projected
Indonesia,IDN,UM,0.04788425837,0.01244,0.090712,0.04788425837,unadjusted,0,10,-0.005899705015,0.035608308605,0.091690544413,0.055118110236,-0.042288557214,0.072727272727,0.094430992736,0.064159292035,0.022869022869,0.040650406504,projected
"Iran, Islamic Rep.",IRN,UM,0.012327416174,0.01244,0.090712,0.01244,raised by floor,0.000112583826,10,0.012820512821,0.019891500904,-0.044326241135,-0.126159554731,-0.154989384289,0.032663316583,0.068126520681,0.154897494305,0.011834319527,-0.093567251462,projected - raised from 1.2% to the 1.244% floor
Iraq,IRQ,UM,0.011409184608,0.01244,0.090712,0.01244,raised by floor,0.001030815392,10,-0.07326007326,-0.124505928854,0.088036117381,0.145228215768,-0.144927536232,0.004237288136,0.162447257384,0.074410163339,0.018581081081,-0.056384742952,projected - raised from 1.1% to the 1.244% floor
Ireland,IRL,H,0.037474956725,0.01244,0.071689,0.037474956725,unadjusted,0,10,0.01031715705,0.028933434191,0.08638117993,0.056673997632,0.031380083253,0.149798199317,0.025651410828,0.043569830196,0.017280524723,0.08319900806,projected
Isle of Man,IMN,H,0.001149531964,0.01244,0.071689,0.01244,raised by floor,0.011290468036,8,-0.059069711826,-0.010166476045,0.071125946848,0.012465539974,-0.061441932047,-0.035822401615,0.026164311879,0.10951045385,,,projected - raised from 0.1% to the 1.244% floor
Israel,ISR,H,0.043879573303,0.01244,0.071689,0.043879573303,unadjusted,0,10,0.009214092141,0.036519871106,0.087046632124,0.0512392755,-0.017683065065,0.145626586661,0.117244157937,-0.017670393076,-0.025513950073,0.058203051422,projected
Italy,ITA,H,0.009669060685,0.01244,0.071689,0.01244,raised by floor,0.002770939315,10,-0.031679617454,-0.018827160494,0.078011953444,0.022176831048,-0.06936911219,0.127607361963,0.062568008705,-0.007936507937,-0.002838709677,0.089026915114,projected - raised from 1.0% to the 1.244% floor
Jamaica,JAM,UM,0.060028865108,0.01244,0.090712,0.060028865108,unadjusted,0,10,0.01012145749,0.062124248497,0.058490566038,0.057040998217,-0.096121416526,0.061567164179,0.114235500879,0.082018927445,0.048104956268,0.083449235049,projected
Japan,JPN,H,-0.006712711856,0.01244,0.071689,0.01244,raised by floor,0.019152711856,10,-0.022919780767,0.012238653748,0.076070528967,0.005617977528,-0.025139664804,0.078319006686,-0.01904340124,-0.080361173815,-0.087628865979,0.031476997579,projected - raised from -0.7% to the 1.244% floor
Jordan,JOR,UM,0.02306547619,0.01244,0.090712,0.02306547619,unadjusted,0,10,-0.004739336493,0.02380952381,0.041860465116,0.022321428571,-0.026200873362,0.042600896861,0.034408602151,0.016632016632,-0.002044989775,0.077868852459,projected
Kazakhstan,KAZ,UM,0.054418334251,0.01244,0.090712,0.054418334251,unadjusted,0,10,-0.230072463768,-0.084705882353,0.002570694087,0.089743589744,-0.014117647059,0.019093078759,0.100702576112,0.139361702128,0.129785247432,0.135537190083,projected
Kenya,KEN,LM,0.055555555556,0.01244,0.074681,0.055555555556,unadjusted,0,10,0.128787878788,0.03355704698,0.116883116883,0.093023255814,0.015957446809,0.083769633508,0.048309178744,-0.027649769585,-0.018957345972,0.062801932367,projected
Kiribati,KIR,LM,0.044046291872,0.01244,0.074681,0.044046291872,unadjusted,0,10,-0.143266475645,0.046822742475,0.047923322684,0.100609756098,-0.149584487535,0.026058631922,0.04126984127,0.131097560976,-0.035040431267,0.097765363128,projected
"Korea, Dem. Rep.",PRK,L,,0.01244,0.055948,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
"Korea, Rep.",KOR,H,0.030594443385,0.01244,0.071689,0.030594443385,unadjusted,0,10,0.023896448722,0.035332252836,0.083594239198,0.03409419243,-0.022073204806,0.07,0.03044058745,-0.014770665976,-0.033403471857,0.03074829932,projected
Kosovo,XKX,UM,0.090023641826,0.01244,0.090712,0.090023641826,unadjusted,0,10,0,0.005089058524,0.088607594937,0.079069767442,-0.040948275862,0.155056179775,0.091439688716,0.121212121212,0.100158982512,0.121387283237,projected
Kuwait,KWT,H,0.055138662316,0.01244,0.071689,0.055138662316,unadjusted,0,9,-0.165192445613,-0.122279495991,0.055138662316,0.103277674706,-0.070908071749,0.085671191554,0.08696860239,0.074642126789,-0.022121788773,,projected
Kyrgyz Republic,KGZ,LM,0.075252104026,0.01244,0.074681,0.074681,cut by cap,-0.000571104026,10,-0.060344827586,0,0.100917431193,0.033333333333,-0.024193548387,0.04958677686,0.212598425197,0.194805194805,0.228260869565,0.238938053097,projected - cut from 7.5% to the LM p90 cap of 7.47%
Lao PDR,LAO,LM,0.018267996445,0.01244,0.074681,0.018267996445,unadjusted,0,10,0.076530612245,0.061611374408,0.098214285714,0.024390243902,-0.019841269841,0.012145748988,-0.08,-0.082608695652,-0.052132701422,0.075,projected
Latvia,LVA,H,0.04361143333,0.01244,0.071689,0.04361143333,unadjusted,0,10,-0.019204389575,0.004195804196,0.114902506964,0.062460961899,0.01998824221,0.112968299712,0.068358363542,0.017935046049,0.024761904762,0.160780669145,projected
Lebanon,LBN,LM,-0.040431266846,0.01244,0.074681,0.01244,raised by floor,0.052871266846,9,0.042119565217,0.076923076923,0.053268765133,-0.008045977011,-0.264194669757,-0.248818897638,-0.134171907757,-0.101694915254,-0.040431266846,,projected - raised from -4.0% to the 1.244% floor
Lesotho,LSO,LM,0.004610000673,0.01244,0.074681,0.01244,raised by floor,0.007829999327,10,-0.03125,-0.064516129032,0.077586206897,0.032,-0.093023255814,0.017094017094,0.067226890756,-0.007874015748,-0.015873015873,0.032258064516,projected - raised from 0.5% to the 1.244% floor
